there are 6 vertices, the color combinations are as below: 

RED, GREEN, RED, GREEN, RED, GREEN

RED, GREEN, RED, GREEN, RED, WHITE

RED, GREEN, RED, GREEN, WHITE, GREEN

RED, GREEN, RED, WHITE, RED, GREEN

RED, GREEN, RED, WHITE, RED, WHITE

RED, GREEN, WHITE, GREEN, RED, GREEN

RED, GREEN, WHITE, GREEN, WHITE, RED

RED, GREEN, WHITE, GREEN, WHITE, GREEN

RED, GREEN, WHITE, WHITE, RED, GREEN

RED, WHITE, RED, GREEN, RED, GREEN

RED, WHITE, RED, GREEN, RED, WHITE

RED, WHITE, RED, WHITE, RED, GREEN

RED, WHITE, RED, WHITE, RED, WHITE

RED, WHITE, RED, WHITE, GREEN, WHITE

RED, WHITE, GREEN, GREEN, RED, WHITE

RED, WHITE, GREEN, WHITE, RED, WHITE

RED, WHITE, GREEN, WHITE, GREEN, RED

RED, WHITE, GREEN, WHITE, GREEN, WHITE

GREEN, RED, GREEN, RED, GREEN, RED

GREEN, RED, GREEN, RED, GREEN, WHITE

GREEN, RED, GREEN, RED, WHITE, RED

GREEN, RED, GREEN, WHITE, GREEN, RED

GREEN, RED, GREEN, WHITE, GREEN, WHITE

GREEN, RED, WHITE, RED, GREEN, RED

GREEN, RED, WHITE, RED, WHITE, RED

GREEN, RED, WHITE, RED, WHITE, GREEN

GREEN, RED, WHITE, WHITE, GREEN, RED

GREEN, WHITE, RED, RED, GREEN, WHITE

GREEN, WHITE, RED, WHITE, RED, GREEN

GREEN, WHITE, RED, WHITE, RED, WHITE

GREEN, WHITE, RED, WHITE, GREEN, WHITE

GREEN, WHITE, GREEN, RED, GREEN, RED

GREEN, WHITE, GREEN, RED, GREEN, WHITE

GREEN, WHITE, GREEN, WHITE, RED, WHITE

GREEN, WHITE, GREEN, WHITE, GREEN, RED

GREEN, WHITE, GREEN, WHITE, GREEN, WHITE

WHITE, RED, GREEN, RED, GREEN, RED

WHITE, RED, GREEN, RED, GREEN, WHITE

WHITE, RED, GREEN, RED, WHITE, RED

WHITE, RED, GREEN, GREEN, WHITE, RED

WHITE, RED, WHITE, RED, GREEN, RED

WHITE, RED, WHITE, RED, WHITE, RED

WHITE, RED, WHITE, RED, WHITE, GREEN

WHITE, RED, WHITE, GREEN, WHITE, RED

WHITE, RED, WHITE, GREEN, WHITE, GREEN

WHITE, GREEN, RED, RED, WHITE, GREEN

WHITE, GREEN, RED, GREEN, RED, GREEN

WHITE, GREEN, RED, GREEN, RED, WHITE

WHITE, GREEN, RED, GREEN, WHITE, GREEN

WHITE, GREEN, WHITE, RED, WHITE, RED

WHITE, GREEN, WHITE, RED, WHITE, GREEN

WHITE, GREEN, WHITE, GREEN, RED, GREEN

WHITE, GREEN, WHITE, GREEN, WHITE, RED

WHITE, GREEN, WHITE, GREEN, WHITE, GREEN

